action	path	note
add	.domain-migration-evidence/06/boundary.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/bpm.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/check.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/clippy.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/contract-comparison.json	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/files.tsv	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/fmt.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/git-diff-check.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/input.json	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/metadata.json	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/permissions.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/quality-gates.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/quality-gates.tsv	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/service.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/transaction-contract.json	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
add	.domain-migration-evidence/06/unit-tests.log	阶段 06 验收证据；review_approved=true；状态本地门禁通过；禁止标记已验收；真实数据库运行未验证
