entity	owned_type	preparation_phase	owner_phase	target_crate	prepare_at	final_type_definition	impl_sources
AccountCore	AccountCoreRepository	01	02	erp-identity	database/src/repository/owned/account_core.rs	crates/erp-identity/src/repository/owned/account_core.rs	database/src/repository/account_core.rs
ApprovalNotificationOutbox	ApprovalNotificationOutboxRepository	01	03	erp-workflow	database/src/repository/owned/approval_notification_outbox.rs	crates/erp-workflow/src/repository/owned/approval_notification_outbox.rs	database/src/repository/approval_integration.rs
ApprovalSubjectSnapshot	ApprovalSubjectSnapshotRepository	01	03	erp-workflow	database/src/repository/owned/approval_subject_snapshot.rs	crates/erp-workflow/src/repository/owned/approval_subject_snapshot.rs	database/src/repository/approval_integration.rs
AuditEvent	AuditEventRepository	01	02	erp-identity	database/src/repository/owned/audit_event.rs	crates/erp-identity/src/repository/owned/audit_event.rs	database/src/repository/access_control.rs
AuditLog	AuditLogRepository	01	02	erp-audit	database/src/repository/owned/audit_log.rs	crates/erp-audit/src/repository/owned/audit_log.rs	database/src/repository/audit_log.rs
BackgroundJob	BackgroundJobRepository	01	04	erp-support	database/src/repository/owned/background_job.rs	crates/erp-support/src/repository/owned/background_job.rs	database/src/repository/bulk_job.rs
BackgroundJobItem	BackgroundJobItemRepository	01	04	erp-support	database/src/repository/owned/background_job_item.rs	crates/erp-support/src/repository/owned/background_job_item.rs	database/src/repository/bulk_job.rs
BulkSelectionItem	BulkSelectionItemRepository	01	04	erp-support	database/src/repository/owned/bulk_selection_item.rs	crates/erp-support/src/repository/owned/bulk_selection_item.rs	database/src/repository/bulk_job.rs
BulkSelectionSnapshot	BulkSelectionSnapshotRepository	01	04	erp-support	database/src/repository/owned/bulk_selection_snapshot.rs	crates/erp-support/src/repository/owned/bulk_selection_snapshot.rs	database/src/repository/bulk_job.rs
BusinessCapabilityConfirmation	BusinessCapabilityConfirmationRepository	01	16	erp-supply	database/src/repository/owned/business_capability_confirmation.rs	crates/erp-supply/src/repository/owned/business_capability_confirmation.rs	database/src/repository/supplier_api.rs
BusinessDocument	BusinessDocumentRepository	01	03	erp-workflow	database/src/repository/owned/business_document.rs	crates/erp-workflow/src/repository/owned/business_document.rs	database/src/repository/document_registry.rs
Contract	ContractRepository	01	06	erp-contract	database/src/repository/owned/contract.rs	crates/erp-contract/src/repository/owned/contract.rs	database/src/repository/contract.rs
ContractRevision	ContractRevisionRepository	01	06	erp-contract	database/src/repository/owned/contract_revision.rs	crates/erp-contract/src/repository/owned/contract_revision.rs	database/src/repository/contract.rs
CostAllocation	CostAllocationRepository	01	09	erp-finance	database/src/repository/owned/cost_allocation.rs	crates/erp-finance/src/repository/owned/cost_allocation.rs	database/src/repository/cost.rs
CostEntry	CostEntryRepository	01	09	erp-finance	database/src/repository/owned/cost_entry.rs	crates/erp-finance/src/repository/owned/cost_entry.rs	database/src/repository/cost.rs
CustomerAcceptance	CustomerAcceptanceRepository	01	12	erp-fulfillment	database/src/repository/owned/customer_acceptance.rs	crates/erp-fulfillment/src/repository/owned/customer_acceptance.rs	database/src/repository/fulfillment/customer_acceptance.rs
