phase	source	target_crate	target	operation	preparation	source_sha256	declared_types
02	database/src/casbin_adapter.rs	erp-identity	crates/erp-identity/src/repository/casbin_adapter.rs	move		2afac4d79596b67ba907cb0d9b12a8b2df07e71e82642daab4d3fa435d721493	CasbinPolicyState,CasbinRule,MongoCasbinAdapter
01	database/src/connection.rs	persistence-core	crates/persistence-core/src/connection.rs	move		fdcb36451fb0dfaeb45aa9155a6faec76bc6bf6adf97584b713acf1376f8c4f0	-
01	database/src/errors.rs	persistence-core	crates/persistence-core/src/errors.rs	move		5ae8a1312fa5eb408eccb36c59d6021ed143385d8c27bdfbddd6a705362e6b50	Error,Result
01	database/src/executor.rs	persistence-core	crates/persistence-core/src/executor.rs	move		d7f18681920bb0f7356687953043ea004f2c96b0a3219f4cb8a46242a7303a2d	Executor,NoTransaction
02	database/src/indexes/access_control.rs	erp-identity	crates/erp-identity/src/indexes/access_control.rs	move-with-owned-repositories	01	d2e1cc3f5729184cb20dc444719d4f7fcc55c39bd22f3ab1b3afae8a92919614	-
03	database/src/indexes/approval_integration.rs	erp-workflow	crates/erp-workflow/src/indexes/approval_integration.rs	move-with-owned-repositories	01	6f2ae90886d19357472031597aa98a0ad98f6ed13ab3442c67fa82c925b8738e	-
03	database/src/indexes/bpm.rs	erp-workflow	crates/erp-workflow/src/indexes/bpm.rs	move-with-owned-repositories	01	aaa828634aac986ba51a766f9b8d2f93db0b09a597291bfb9c91709f79d37ecd	-
04	database/src/indexes/bulk_job.rs	erp-support	crates/erp-support/src/indexes/bulk_job.rs	move-with-owned-repositories	01	f922118d33a21d48f28a6836cf9b386d72c2781a75483deddfca149e63fcfdcb	-
06	database/src/indexes/catalog.rs	erp-catalog	crates/erp-catalog/src/indexes/catalog.rs	move-with-owned-repositories	01	7c4a94f9d32824b39365744a67f3b255e6a10d2fa2e044db556cae931ec224fd	-
06	database/src/indexes/contract.rs	erp-contract	crates/erp-contract/src/indexes/contract.rs	move-with-owned-repositories	01	72e7f646dd4324c64a653b24715f006e899620b36a7a5ac3f9012b4c4491d846	-
09	database/src/indexes/cost.rs	erp-finance	crates/erp-finance/src/indexes/cost.rs	move-with-owned-repositories	01	68b54af0c652b264ae493fd3c2a258999e530ad3a6c03f13a9119ba573ce1971	-
05	database/src/indexes/customer.rs	erp-customer	crates/erp-customer/src/indexes/customer.rs	move-with-owned-repositories	01	5f7eabf5d238f98836f1a18301e5ddfe5823ac99d4bcda361cfc63233d0a8eee	-
03	database/src/indexes/document_registry.rs	erp-workflow	crates/erp-workflow/src/indexes/document_registry.rs	move-with-owned-repositories	01	e8661f7950d37798bfd7ef5aa45e822c9988b7ed02c58eca7476fbf0239b114e	-
04	database/src/indexes/file_asset.rs	erp-support	crates/erp-support/src/indexes/file_asset.rs	move-with-owned-repositories	01	cfb4b66ba6d4d2a6c0ed1d7908f358183c108429919d63e4a27b9c33a8018ebf	-
12	database/src/indexes/fulfillment.rs	erp-fulfillment	crates/erp-fulfillment/src/indexes/fulfillment.rs	move-with-owned-repositories	01	f4390f71a5ed8615ddf802a8660f7fb006aa3e7a7e764c9dcf838919076038ac	-
14	database/src/indexes/integration_ops.rs	erp-integration	crates/erp-integration/src/indexes/integration_ops.rs	move-with-owned-repositories	01	050a9399d271b7110232f2d00bcaeceea652e53923ac866eea2973e822b0647b	-
08	database/src/indexes/inventory.rs	erp-inventory	crates/erp-inventory/src/indexes/inventory.rs	move-with-owned-repositories	01	01baafefa9fd9df2752a9b067bbec14641a3566646740277362f4cc4f5bcb422	-
07	database/src/indexes/legacy_import.rs	erp-import	crates/erp-import/src/indexes/legacy_import.rs	move-with-owned-repositories	01	484b12eef7312c8bad6dcea9c805bb53470cc814d669f5bb90dd1fce2df5d21c	-
17	database/src/indexes/mod.rs			remove-legacy-registry	01-16	baed5101b4ac0c748ea05c99ea966bcae0d341535d5bcb5036531caf195fb27c	-
05	database/src/indexes/party.rs	erp-party	crates/erp-party/src/indexes/party.rs	move-with-owned-repositories	01	7b034bae04a7012d6550ad959c90dbf516836bdb612bfe718e57ddf7ce04ed6f	DuplicatePartyId
09	database/src/indexes/payable.rs	erp-finance	crates/erp-finance/src/indexes/payable.rs	move-with-owned-repositories	01	60ca9be23b4025922f2a12ee99cfb2602aea53b3511fca0d817e7ca862e60b94	-
11	database/src/indexes/procurement_responsibility.rs	erp-procurement	crates/erp-procurement/src/indexes/procurement_responsibility.rs	move-with-owned-repositories	01	9c3fbbd0017ff8cc24ea2d75c2312331a0076e47a7d4a572590b0627160255ae	-
11	database/src/indexes/purchase_order.rs	erp-procurement	crates/erp-procurement/src/indexes/purchase_order.rs	move-with-owned-repositories	01	ee27c5de6953d12aafe0590cc89591dd49d949586b96456e04ed204fafcc7049	-
09	database/src/indexes/receivable.rs	erp-finance	crates/erp-finance/src/indexes/receivable.rs	move-with-owned-repositories	01	0e487410ee18a6a4b9e1cd8eb06ac37da03a66684b7fe1f26d8f31f625141f95	-
13	database/src/indexes/returns.rs	erp-returns	crates/erp-returns/src/indexes/returns.rs	move-with-owned-repositories	01	3b8e325cee3b39b218d6dde10482d2e9ddba13405c08dd97789f598fd946fa9c	-
10	database/src/indexes/sales_order.rs	erp-sales	crates/erp-sales/src/indexes/sales_order.rs	move-with-owned-repositories	01	d0ed46956304b315105f05c21e54cabb4dd8d915f6205b18e9c62ec63ef0ae75	-
10	database/src/indexes/sales_review.rs	erp-sales	crates/erp-sales/src/indexes/sales_review.rs	move-with-owned-repositories	01	20c1baf42b62eabdf8c1e599ddb999ac1f6291b49360a18db51a4b3cbf23c906	-
04	database/src/indexes/source_registry.rs	erp-support	crates/erp-support/src/indexes/source_registry.rs	move-with-owned-repositories	01	d09aee75d61e82597b6426f319dff7037015aa4bad80b17aed4543ac20300a4b	-
05	database/src/indexes/supplier.rs	erp-supplier	crates/erp-supplier/src/indexes/supplier.rs	move-with-owned-repositories	01	7e8ca51241592ed17e1366a4554d102ad75935d8bf173abd440f3c3f30bfd23f	-
16	database/src/indexes/supplier_api.rs	erp-supply	crates/erp-supply/src/indexes/supplier_api.rs	move-with-owned-repositories	01	6792418ac904ae084f22280e894c0478ff19c17d0070c88609a5fe174f2f654b	-
16	database/src/indexes/supplier_fulfillment.rs	erp-supply	crates/erp-supply/src/indexes/supplier_fulfillment.rs	move-with-owned-repositories	01	06a96c3afc09f1a6bee6ed164ad4fbcbce2c400fa8fdbfa27403290b6b56b985	-
16	database/src/indexes/supplier_offering.rs	erp-supply	crates/erp-supply/src/indexes/supplier_offering.rs	move-with-owned-repositories	01	5dc6741f7279b7d156f1bc02cd122f80a313517eee2ad1c35685e4e7147c1721	-
16	database/src/indexes/supplier_settlement.rs	erp-supply	crates/erp-supply/src/indexes/supplier_settlement.rs	move-with-owned-repositories	01	b84afa8adc1d619a17d14b7c6cbdfad7fa117253d3e30147f0e5af723cce1bd0	-
06	database/src/indexes/warehouse.rs	erp-warehouse	crates/erp-warehouse/src/indexes/warehouse.rs	move-with-owned-repositories	01	85f9af59be54ab5a85bde9661f6256d49c533eb8e08c671c9ff8627a2c8bdc31	-
03	database/src/indexes/work_item.rs	erp-workflow	crates/erp-workflow/src/indexes/work_item.rs	move-with-owned-repositories	01	dc6141ba15bbb56a88208aa0eb7531d0971475c0534bb8b67b6cde79841c4412	-
17	database/src/lib.rs			remove-production-entry	01-16	da3486e7b241a25a85f92caf63bf21a12f5351e625ba1f5f0348c359cca058ee	-
01	database/src/mongo_ops.rs	persistence-core	crates/persistence-core/src/mongo_ops.rs	move		94ede2899af748757462ec658731e1d6ca90a80650b6744f962a18d41bc06feb	-
02	database/src/repository/access_control.rs	erp-identity	crates/erp-identity/src/repository/access_control.rs	move-with-owned-repositories	01	68db76bef5764d65561d60570544f4d8073bb3294719c07a5320c652536d838a	PermissionRow,PermissionFilter,DataScopeRow,DataScopeFilter,AuditEventRow,AuditEventFilter,AccessControlRepository
02	database/src/repository/account_core.rs	erp-identity	crates/erp-identity/src/repository/account_core.rs	move-with-owned-repositories	01	ffd25d194b1e6cf0578d89248d1edd279ec41cd228d7cad16bf1544bd6719214	-
03	database/src/repository/approval_integration.rs	erp-workflow	crates/erp-workflow/src/repository/approval_integration.rs	move-with-owned-repositories	01	49ae8a364478c14a7980decf94da44fd58e44cef19ea8d38d99effaa8d917274	ApprovalRuntimeReadTypeScope,ApprovalRuntimeReadScope,ApprovalRuntimeReadRow,ApprovalRuntimeReadPage,ApprovalRuntimeReadRepository,ApprovalRuntimeReadFacet,ApprovalRuntimeReadCount
02	database/src/repository/audit_log.rs	erp-audit	crates/erp-audit/src/repository/audit_log.rs	move-with-owned-repositories	01	3b9a0b4d7ff3387d76865b103e6400d2a497aa6c00a8c754957acea5c3ef10a2	CommandReceiptRow,SeparationAuditFact,AuditLogFilter
01	database/src/repository/base.rs	persistence-core	crates/persistence-core/src/repository/base.rs	split-owned-repositories		d2afc9992bdf70f9f4c71d02951d95c018b360cfe34c63bb87acb2b4583de2e3	QueryFilter,Pagination,PageResult,Repository,WriteMetadata,TestPagination
03	database/src/repository/bpm.rs	erp-workflow	crates/erp-workflow/src/repository/bpm.rs	move-with-owned-repositories	01	e3e8625983b28aef57530637668d73792943b41a315ce1e1e9afdf033e142f73	CasWriteOutcome,AssignDocumentNoOutcome,ApprovalInstanceListView,ApprovalInstanceListCursor,ApprovalInstanceListFilter,ApprovalInstanceTextQuery,ApprovalInstanceListProjection,ApprovalInstanceSummary,LatestDefinitionVersionProjection,DefinitionCatalogStatusFact,DefinitionCatalogRow,CasReplaceSpec,BpmWorkflowRepository
03	database/src/repository/bpm/cas.rs	erp-workflow	crates/erp-workflow/src/repository/bpm/cas.rs	move-with-owned-repositories	01	cd43e503157b034821e2b9a32ac9cf8964673fe16f30377c713acd236ec811cd	-
03	database/src/repository/bpm/definition_command.rs	erp-workflow	crates/erp-workflow/src/repository/bpm/definition_command.rs	move-with-owned-repositories	01	4ddc584c1f35ccb46f4001210edbcd30bc8f8b040e27f681ebe72d617796af43	-
03	database/src/repository/bpm/definition_query.rs	erp-workflow	crates/erp-workflow/src/repository/bpm/definition_query.rs	move-with-owned-repositories	01	827cf3ff6b4a538c5894f7118eed83d933f041f6df245b19b047a9805e466848	-
03	database/src/repository/bpm/execution_query.rs	erp-workflow	crates/erp-workflow/src/repository/bpm/execution_query.rs	move-with-owned-repositories	01	2f19bfd10cb1491cd16c1f1ae0d4ba79a07cacab9701cddf265a0a5aede41592	-
03	database/src/repository/bpm/instance_query.rs	erp-workflow	crates/erp-workflow/src/repository/bpm/instance_query.rs	move-with-owned-repositories	01	e932b0c6fdd0aae7540008a37e50391d10fd93fd356297712521ff11584c9a9e	-
03	database/src/repository/bpm/mongo_catalog_and_published.rs	erp-workflow	crates/erp-workflow/src/repository/bpm/mongo_catalog_and_published.rs	move-with-owned-repositories	01	16632fb8672304ebf4492fe9e6592bac34217a165fc82d0041306f0769c6313a	-
03	database/src/repository/bpm/runtime_write.rs	erp-workflow	crates/erp-workflow/src/repository/bpm/runtime_write.rs	move-with-owned-repositories	01	874da52c995ecc6008a2891928c0f5c476baf4e2eadcda280f1be5fe375a9bbe	-
03	database/src/repository/bpm/tests.rs	erp-workflow	crates/erp-workflow/src/repository/bpm/tests.rs	move-with-owned-repositories	01	718526497e3d9f11c52bc09861d7a3c5d2cedfdd61d1df2fdc24de9b2bd7d5a0	LockProbe
04	database/src/repository/bulk_job.rs	erp-support	crates/erp-support/src/repository/bulk_job.rs	move-with-owned-repositories	01	b5311575bdf4f81ab8dee50c3950c7daab35e63588d6b4e5327e4ad24b7fe84f	BackgroundJobRegistration,BulkSelectionSnapshotRow,BulkSelectionSnapshotFilter,BulkSelectionItemRow,BackgroundJobRow,BackgroundJobFilter,BackgroundJobItemRow,BulkJobRepository
06	database/src/repository/catalog/attribute.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/attribute.rs	move-with-owned-repositories	01	3ee959e1212a2f7db6895959466ff04d47b4ae7c9540fa72f9dbf4270df829e4	SkuAttributeRow,SkuAttributeFilter,SkuAttributeValueRow,SkuAttributeValueFilter
06	database/src/repository/catalog/category.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/category.rs	move-with-owned-repositories	01	44655fe93989cc7dd42bc198bae64678b532a4604df9875fee64e44435afbd9f	ProductCategoryRow,ProductCategoryFilter,ProductCategoryAttributeFilter
06	database/src/repository/catalog/dictionary.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/dictionary.rs	move-with-owned-repositories	01	4f07cb2ccf582a275a082cf886267333b01c6ce6101590d461057ec0d38b7b8e	ProductBrandRow,ProductBrandFilter,UnitOfMeasureRow,UnitOfMeasureFilter,CatalogReferenceData
06	database/src/repository/catalog/listing.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/listing.rs	move-with-owned-repositories	01	c53552a7ad232745a5f23831d042417af74a5e4e49471230a59741ac83030872	ProductListingSummary
06	database/src/repository/catalog/mod.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/mod.rs	move-with-owned-repositories	01	10261bbdf93da0a8e318c25576251d5dc242253ecf241f558c02d9a28466eb34	CatalogRepository
06	database/src/repository/catalog/parent_chain.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/parent_chain.rs	move-with-owned-repositories	01	38d4073a0c64ac9accee129c450927db8c8458f9c362869738f453ae18ebfc85	CategoryParentLink,CategoryParentChainFact,ParentChainAncestorRow,ParentChainAggregateRow
06	database/src/repository/catalog/product.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/product.rs	move-with-owned-repositories	01	ee183ca358dc6db885855a330552d61598fd225c0e7b8cf21521c151cc912685	ProductRow,ProductFacet,ProductTotal,ProductFilter,ProductRevisionRow,ProductDisableSnapshot,ProductRevisionFilter
06	database/src/repository/catalog/product_pipeline.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/product_pipeline.rs	move-with-owned-repositories	01	8830a8a1053a09a7c3624f0ed6a34c8c62fbcaf3a5b11124970515a102e05415	-
